side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
S,200.0,1.2258507404138472,4.0,3263.04,11892,11902,2026-01-17 00:00:00,2026-01-17 10:00:00,3263.04,3289.26,-0.804,-36.14,MH,10,0.154,-1.098,4.0,MILD_UP,0.3380877953074434,0.3380877953074434,0.44876813450034325,-35.801912204692556,69
S,200.0,1.2549767672425964,4.0,3187.31,11971,11979,2026-01-20 07:00:00,2026-01-20 15:00:00,3187.31,3115.2,2.262,86.5,TP,8,2.53,-0.39,11.1,MILD_UP,0.3445333700403803,0.3445333700403803,0.3445333700403803,86.84453337004038,70
S,200.0,1.3669185214042354,4.0,2926.29,12053,12063,2026-01-23 17:00:00,2026-01-24 03:00:00,2926.29,2987.18,-2.081,-87.23,MH,10,1.233,-3.218,16.2,DOWN,0.20352057793315084,0.20352057793315084,0.20352057793315084,-87.02647942206686,71
S,200.0,2.0539469157419625,4.0,1947.47,12540,12541,2026-02-13 00:00:00,2026-02-13 01:00:00,1947.47,1907.82,2.036,77.44,TP,1,2.757,-0.079,7.1,DOWN,0.0,-0.16413223336795676,0.0,77.44,72
S,200.0,2.2043425548330213,4.0,1814.6,12826,12836,2026-02-24 22:00:00,2026-02-25 08:00:00,1814.6,1851.09,-2.011,-84.44,MH,10,0.692,-2.754,28.3,DOWN,-0.221247057797029,-0.221247057797029,-0.121071801542207,-84.66124705779703,73
S,200.0,2.020610224287735,4.0,1979.6,12895,12898,2026-02-27 19:00:00,2026-02-27 22:00:00,1979.6,1962.04,0.887,31.48,TP,3,2.202,-0.174,27.3,DOWN,0.0,0.0,0.0,31.48,74
S,200.0,1.9008696478638976,4.0,2104.3,13036,13045,2026-03-05 16:00:00,2026-03-06 01:00:00,2104.3,2079.17,1.194,43.77,TP,9,2.317,-2.79,7.1,MILD_UP,-0.058016553471462624,-0.0914987736337908,-0.058016553471462624,43.71198344652854,75
L,200.0,1.9455158292031651,4.0,2056.01,13157,13165,2026-03-10 17:00:00,2026-03-11 01:00:00,2056.01,2079.56,1.145,41.82,MHx,8,1.556,-2.346,16.2,SIDE,-0.10804435502792924,-0.10804435502792924,-0.10804435502792924,41.71195564497207,76
S,200.0,1.730343300110742,4.0,2311.68,13351,13352,2026-03-18 19:00:00,2026-03-18 20:00:00,2311.68,2268.1,1.885,71.41,TP,1,2.149,-0.292,19.2,UP,0.0,0.0,0.0,71.41,77
S,200.0,1.8880125364032416,4.0,2118.63,13538,13542,2026-03-26 14:00:00,2026-03-26 18:00:00,2118.63,2081.29,1.762,66.5,TP,4,2.154,-0.359,20.2,DOWN,0.028651371912942796,0.028651371912942796,0.028651371912942796,66.52865137191294,78
S,200.0,1.9608900479927838,4.0,2039.89,13566,13567,2026-03-27 18:00:00,2026-03-27 19:00:00,2039.89,1989.7,2.46,94.42,TP,1,2.87,-0.188,26.3,DOWN,0.0,0.0,0.0,94.42,79
L,200.0,1.9404194216579915,4.0,2061.41,13637,13640,2026-03-30 17:00:00,2026-03-30 20:00:00,2061.41,2070.4,0.436,13.44,MFE,3,1.241,-0.728,23.2,DOWN,0.0,0.0,0.0,13.44,80
S,200.0,1.9744408630281012,4.0,2025.89,13713,13723,2026-04-02 21:00:00,2026-04-03 07:00:00,2025.89,2059.08,-1.638,-69.53,MH,10,0.51,-2.473,23.2,DOWN,-0.29605870102283977,-0.29605870102283977,-0.29605870102283977,-69.82605870102284,81
L,200.0,1.6862411156171222,4.0,2372.14,13995,14003,2026-04-14 15:00:00,2026-04-14 23:00:00,2372.14,2352.08,-0.846,-37.83,MFE,8,1.866,-0.849,3.0,MILD_UP,-0.40081445445884306,-0.40081445445884306,-0.40081445445884306,-38.230814454458844,82
L,200.0,1.6879916275615274,4.0,2369.68,14183,14187,2026-04-22 11:00:00,2026-04-22 15:00:00,2369.68,2392.4,0.959,34.35,MFE,4,1.885,-0.525,8.1,MILD_UP,0.0,0.0,0.0,34.35,83
L,200.0,1.679994624017203,4.0,2380.96,14496,14502,2026-05-05 12:00:00,2026-05-05 18:00:00,2380.96,2368.61,-0.519,-24.75,MH,6,0.378,-0.664,8.1,SIDE,0.09633277689351354,0.09633277689351354,0.09633277689351354,-24.653667223106485,84
S,200.0,1.938228652834175,4.0,2063.74,15034,15042,2026-05-27 22:00:00,2026-05-28 06:00:00,2063.74,2020.09,2.115,80.6,TP,8,2.411,-0.769,27.3,DOWN,0.24472139746285873,0.24472139746285873,0.24472139746285873,80.84472139746285,85
S,200.0,2.026917463920869,4.0,1973.44,15178,15179,2026-06-02 22:00:00,2026-06-02 23:00:00,1973.44,1940.66,1.661,62.44,TP,1,2.505,-0.053,24.2,DOWN,0.0,0.0,0.0,62.44,86
S,200.0,2.312780424626486,4.0,1729.52,15239,15242,2026-06-05 11:00:00,2026-06-05 14:00:00,1729.52,1683.37,2.668,102.73,TP,3,2.857,-1.011,3.0,DOWN,0.0,0.0,0.0,102.73,87
S,200.0,2.406738868832732,4.0,1662.0,15333,15343,2026-06-09 09:00:00,2026-06-09 19:00:00,1662.0,1673.69,-0.703,-32.13,MH,10,0.536,-2.046,22.2,DOWN,0.0014548938628158846,0.0014548938628158846,0.0014548938628158846,-32.12854510613719,88
L,200.0,2.4106405674647897,4.0,1659.31,15389,15395,2026-06-11 17:00:00,2026-06-11 23:00:00,1659.31,1642.25,-1.028,-45.13,MH,6,0.861,-1.284,12.1,DOWN,0.0,0.0,0.0,-45.13,89
S,200.0,2.3792387625579194,4.0,1681.21,15564,15574,2026-06-19 00:00:00,2026-06-19 10:00:00,1681.21,1712.79,-1.878,-79.14,MH,10,0.633,-2.238,18.2,MILD_UP,0.2665555146229078,0.23891156889334395,0.2665555146229078,-78.87344448537709,90
S,200.0,2.3136365739669613,4.0,1728.88,16043,16051,2026-07-08 23:00:00,2026-07-09 07:00:00,1728.88,1740.5,-0.672,-30.88,MH,8,0.95,-0.979,33.3,UP,0.18078535107253277,0.18078535107253277,0.18078535107253277,-30.699214648927466,91
