side,margin_c,qty_exact_c,fee_exact_c,entry_exact_c,entry_bar_c,exit_bar_c,entry_dt,exit_dt_c,entry_price_c,exit_price_c,pnl_pct_c,pnl_c,reason_code_c,bars_held_c,mfe_pct_c,mae_pct_c,gk_pctile_c,regime_code_c,funding_c,funding_low_c,funding_high_c,net_c,margin_b,qty_exact_b,fee_exact_b,entry_exact_b,entry_bar_b,exit_bar_b,exit_dt_b,entry_price_b,exit_price_b,pnl_pct_b,pnl_b,reason_code_b,bars_held_b,mfe_pct_b,mae_pct_b,gk_pctile_b,regime_code_b,funding_b,funding_low_b,funding_high_b,net_b,_merge
S,200.0,2.0540308248529127,4.0,1947.3904440000001,12507.0,12513.0,2026-02-11 15:00:00,2026-02-11 21:00:00,1947.39,1951.6,-0.216,-12.65,ACX,6.0,0.873,-0.993,21.2,DOWN,-0.5193315278555218,-0.5193315278555218,-0.5193315278555218,-13.169331527855523,200.0,2.0540308248529127,4.0,1947.3904440000001,12507.0,12516.0,2026-02-12 00:00:00,1947.39,1928.44,0.973,34.93,TP,9.0,2.371,-3.494,21.2,DOWN,-1.0075962218932992,-1.0075962218932992,-0.5193315278555218,33.9224037781067,both
S,200.0,2.0543577872994225,4.0,1947.080506,12540.0,12541.0,2026-02-13 00:00:00,2026-02-13 01:00:00,1947.08,1908.2,1.997,75.87,TP,1.0,2.738,-0.099,7.1,DOWN,0.0,-0.16416506638123302,0.0,75.87,200.0,2.0543577872994225,4.0,1947.080506,12540.0,12541.0,2026-02-13 01:00:00,1947.08,1908.2,1.997,75.87,TP,1.0,2.738,-0.099,7.1,DOWN,0.0,-0.16416506638123302,0.0,75.87,both
S,200.0,2.0313992323009153,4.0,1969.086104,12682.0,12688.0,2026-02-18 22:00:00,2026-02-19 04:00:00,1969.09,1940.21,1.467,54.66,TP,6.0,2.41,-2.068,19.2,DOWN,-0.034914904335445154,-0.034914904335445154,-0.034914904335445154,54.62508509566455,200.0,2.0313992323009153,4.0,1969.086104,12682.0,12688.0,2026-02-19 04:00:00,1969.09,1940.21,1.467,54.66,TP,6.0,2.41,-2.068,19.2,DOWN,-0.034914904335445154,-0.034914904335445154,-0.034914904335445154,54.62508509566455,both
S,200.0,2.083522198109585,4.0,1919.8259580000001,12706.0,12712.0,2026-02-19 22:00:00,2026-02-20 04:00:00,1919.83,1940.53,-1.078,-47.13,ACX,6.0,0.746,-1.465,12.1,DOWN,-0.3154939327160811,-0.3154939327160811,-0.3154939327160811,-47.44549393271608,200.0,2.083522198109585,4.0,1919.8259580000001,12706.0,12716.0,2026-02-20 08:00:00,1919.83,1948.54,-1.496,-63.83,MH,10.0,0.746,-1.728,12.1,DOWN,-0.5037104012424433,-0.5037104012424433,-0.3154939327160811,-64.33371040124244,both
S,200.0,2.2047835115353283,4.0,1814.2370799999999,12826.0,12829.0,2026-02-24 22:00:00,2026-02-25 01:00:00,1814.24,1857.8,-2.401,-100.05,ACX,3.0,0.672,-2.667,28.3,DOWN,-0.12109602074635627,-0.12109602074635627,-0.12109602074635627,-100.17109602074635,200.0,2.2047835115353283,4.0,1814.2370799999999,12826.0,12836.0,2026-02-25 08:00:00,1814.24,1851.46,-2.052,-86.07,MH,10.0,0.672,-2.775,28.3,DOWN,-0.22129131606024105,-0.22129131606024105,-0.12109602074635627,-86.29129131606024,both
S,200.0,1.95140041558077,4.0,2049.809956,12875.0,12877.0,2026-02-26 23:00:00,2026-02-27 01:00:00,2049.81,1983.29,3.245,125.81,TP,2.0,3.611,-0.129,0.0,DOWN,0.15570082595500867,0.15570082595500867,0.15570082595500867,125.96570082595501,200.0,1.95140041558077,4.0,2049.809956,12875.0,12877.0,2026-02-27 01:00:00,2049.81,1983.29,3.245,125.81,TP,2.0,3.611,-0.129,0.0,DOWN,0.15570082595500867,0.15570082595500867,0.15570082595500867,125.96570082595501,both
S,200.0,2.0210144271731694,4.0,1979.20408,12895.0,12898.0,2026-02-27 19:00:00,2026-02-27 22:00:00,1979.2,1962.43,0.847,29.9,TP,3.0,2.183,-0.194,27.3,DOWN,0.0,0.0,0.0,29.9,200.0,2.0210144271731694,4.0,1979.20408,12895.0,12898.0,2026-02-27 22:00:00,1979.2,1962.43,0.847,29.9,TP,3.0,2.183,-0.194,27.3,DOWN,0.0,0.0,0.0,29.9,both
S,200.0,1.9012498978434664,4.0,2103.87914,13036.0,13039.0,2026-03-05 16:00:00,2026-03-05 19:00:00,2103.88,2155.51,-2.454,-102.17,ACX,3.0,0.544,-2.81,7.1,MILD_UP,0.0,-0.03348891794591737,0.0,-102.17,200.0,1.9012498978434664,4.0,2103.87914,13036.0,13045.0,2026-03-06 01:00:00,2103.88,2079.59,1.155,42.19,TP,9.0,2.297,-2.81,7.1,MILD_UP,-0.05802815910328329,-0.09151707704920066,-0.05802815910328329,42.13197184089672,both
S,200.0,1.943352954049869,4.0,2058.2982580000003,13062.0,13066.0,2026-03-06 18:00:00,2026-03-06 22:00:00,2058.3,2018.92,1.913,72.52,TP,4.0,2.002,-0.487,4.0,MILD_UP,0.0,0.0,0.0,72.52,200.0,1.943352954049869,4.0,2058.2982580000003,13062.0,13066.0,2026-03-06 22:00:00,2058.3,2018.92,1.913,72.52,TP,4.0,2.002,-0.487,4.0,MILD_UP,0.0,0.0,0.0,72.52,both
S,200.0,1.7306894379983417,4.0,2311.217664,13351.0,13352.0,2026-03-18 19:00:00,2026-03-18 20:00:00,2311.22,2268.55,1.846,69.84,TP,1.0,2.129,-0.312,19.2,UP,0.0,0.0,0.0,69.84,200.0,1.7306894379983417,4.0,2311.217664,13351.0,13352.0,2026-03-18 20:00:00,2311.22,2268.55,1.846,69.84,TP,1.0,2.129,-0.312,19.2,UP,0.0,0.0,0.0,69.84,both
