side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
S,200.0,1.450920790606739,4.0,2756.87,6647,6659,2025-06-12 11:00:00,2025-06-12 23:00:00,2756.87,2763.45,-0.239,-13.55,BE,12,1.672,-0.706,34.3,MILD_UP,0.3975508983013346,0.3975508983013346,0.3975508983013346,-13.152449101698666
L,200.0,1.6312548427878146,4.0,2452.1,7135,7141,2025-07-02 19:00:00,2025-07-03 01:00:00,2452.1,2559.78,4.391,171.65,TP,6,4.524,-0.884,2.0,MILD_UP,-0.21338911232090896,-0.21338911232090896,-0.21338911232090896,171.4366108876791
S,200.0,1.5577901189372758,4.0,2567.74,7178,7187,2025-07-04 14:00:00,2025-07-04 23:00:00,2567.74,2515.37,2.04,77.58,TP,9,2.855,-0.049,4.0,MILD_UP,0.26126456666173375,0.26126456666173375,0.26126456666173375,77.84126456666174
L,200.0,1.5680186907827942,4.0,2550.99,7274,7283,2025-07-08 14:00:00,2025-07-08 23:00:00,2550.99,2562.92,0.468,14.71,MFE,9,1.921,-0.352,13.1,MILD_UP,-0.11153152513531406,-0.11153152513531406,-0.11153152513531406,14.598468474864687
L,200.0,1.504324934185784,4.0,2659.0,7305,7312,2025-07-09 21:00:00,2025-07-10 04:00:00,2659.0,2763.56,3.932,153.29,TP,7,5.142,-1.166,9.1,MILD_UP,-0.25038055208725085,-0.25038055208725085,-0.25038055208725085,153.03961944791274
L,200.0,1.4377163313792372,4.0,2782.19,7319,7324,2025-07-10 11:00:00,2025-07-10 16:00:00,2782.19,2789.54,0.264,6.57,MFE,5,1.439,-0.638,8.1,MILD_UP,-0.1126254680487242,-0.1126254680487242,0.0,6.457374531951276
L,200.0,1.3316022504078031,4.0,3003.9,7346,7350,2025-07-11 14:00:00,2025-07-11 18:00:00,3003.9,3014.86,0.365,10.59,MFE,4,1.233,-1.444,7.1,MILD_UP,-0.39526615399980025,-0.39526615399980025,-0.39526615399980025,10.194733846000199
S,200.0,1.3442531497531616,4.0,2975.63,7438,7447,2025-07-15 10:00:00,2025-07-15 19:00:00,2975.63,2973.1,0.085,-0.6,BE,9,1.5,-0.629,26.3,UP,0.4000967862267823,0.4000967862267823,0.4000967862267823,-0.19990321377321768
S,200.0,1.0963589917882712,4.0,3648.44,7618,7626,2025-07-22 22:00:00,2025-07-23 06:00:00,3648.44,3705.11,-1.553,-66.13,MH,8,0.615,-2.784,28.3,UP,0.40760296914407257,0.40760296914407257,0.40760296914407257,-65.72239703085592
S,200.0,1.093631238482696,4.0,3657.54,7638,7642,2025-07-23 18:00:00,2025-07-23 22:00:00,3657.54,3586.65,1.938,73.53,TP,4,2.12,-0.615,15.2,UP,0.0,0.0,0.0,73.53
S,200.0,1.1067701127798746,4.0,3614.12,7679,7687,2025-07-25 11:00:00,2025-07-25 19:00:00,3614.12,3718.2,-2.88,-119.19,MH,8,1.217,-3.661,9.1,UP,0.4019420623864178,0.4019420623864178,0.4019420623864178,-118.78805793761359
L,200.0,1.045005786719544,4.0,3827.73,7779,7783,2025-07-29 15:00:00,2025-07-29 19:00:00,3827.73,3828.72,0.026,-2.97,MFE,4,1.507,-0.124,15.2,MILD_UP,-0.4050996282391914,-0.4050996282391914,-0.4050996282391914,-3.3750996282391914
S,200.0,1.0647897971841633,4.0,3756.61,7808,7816,2025-07-30 20:00:00,2025-07-31 04:00:00,3756.61,3758.7,-0.056,-6.23,TP,8,2.306,-1.979,30.3,MILD_UP,0.062241972416620314,0.062241972416620314,0.062241972416620314,-6.16775802758338
