name,side,origin_bar,outcome,matched_baseline,baseline_net
wait12,L,5119,second_entry,True,-44.61
wait12,L,5164,second_entry,True,-7.09
wait12,L,5237,cross_blocked,True,86.52
wait12,L,5262,expired,True,-72.31
wait12,L,5306,cross_blocked,True,-18.697710294377117
wait12,L,5336,cross_blocked,True,3.1793970285887343
wait12,L,5434,expired,True,142.04400411870597
wait12,L,5493,second_entry,True,-19.05
wait12,S,5666,second_entry,True,-24.24351649480857
wait12,L,5790,expired,True,-61.414452234375
wait12,L,5835,expired,True,186.84080090782555
wait12,S,5974,second_entry,True,69.67268863439679
wait12,S,6105,expired,True,-55.41307763017488
wait12,L,6148,expired,True,41.48
wait12,L,6166,second_entry,True,40.91
wait12,S,6286,second_entry,True,-37.54973876459957
wait12,S,6324,second_entry,True,102.58773444623311
wait12,L,6462,second_entry,True,-17.258781041231497
wait12,S,6647,second_entry,True,-13.152449101698666
wait12,L,7135,second_entry,True,171.4366108876791
wait12,S,7178,expired,True,77.84126456666174
wait12,L,7274,expired,True,14.598468474864688
wait12,L,7305,expired,True,153.03961944791274
wait12,L,7319,second_entry,True,6.457374531951276
wait12,L,7346,second_entry,True,10.1947338460002
wait12,S,7438,expired,True,-0.1999032137732176
wait12,S,7618,expired,True,-65.72239703085592
wait12,S,7638,second_entry,True,73.53
wait12,S,7679,second_entry,True,-118.7880579376136
wait12,L,7779,expired,True,-3.3750996282391914
wait12,S,7808,cross_blocked,True,-6.16775802758338
wait12,L,7823,expired,True,-11.910136428037369
wait12,S,7835,expired,False,
wait12,S,7948,second_entry,True,42.104159480764565
wait12,L,7970,second_entry,True,-25.25810911720312
wait12,L,7996,expired,True,155.38
wait12,L,8026,expired,True,53.49459564149089
wait12,S,8167,second_entry,True,114.36
wait12,S,8195,expired,True,52.38533207335098
wait12,L,8309,second_entry,True,11.235773093488566
wait12,L,8357,second_entry,True,258.56
wait12,L,8503,expired,True,-108.70498856361512
wait12,L,8646,expired,True,106.13932753908308
wait12,S,8666,second_entry,True,67.33012066117392
wait12,L,8692,expired,True,19.76
wait12,L,8813,second_entry,True,60.12
wait12,L,8834,expired,True,2.1080313588061377
wait12,L,8851,expired,True,36.4154382598818
wait12,S,8962,expired,True,-28.80125801781819
wait12,L,8975,second_entry,True,-20.96498356164868
wait12,S,9024,expired,True,61.91382965079406
wait12,L,9155,expired,True,-31.256324779651557
wait12,S,9162,second_entry,True,37.53528688209362
wait12,L,9317,expired,True,26.470002936510344
wait12,L,9332,expired,True,21.46790377159957
wait12,L,9346,second_entry,True,42.67997500770344
wait12,S,9459,second_entry,True,131.48734078306495
wait12,S,9480,second_entry,True,-42.81743330077919
wait12,S,9503,second_entry,True,72.62093198287823
wait12,S,9539,expired,True,161.52264982376084
wait12,S,9626,expired,True,61.79
wait12,L,9675,second_entry,True,8.39967720662908
wait12,S,9699,expired,True,112.89144457772612
wait12,L,9763,second_entry,True,36.43169057145151
wait12,S,9792,expired,True,69.64
wait12,S,9822,second_entry,True,93.17578202527356
wait12,L,9843,expired,True,-43.43649404600532
wait12,S,9959,second_entry,True,-29.194422356638327
wait12,L,9970,cross_blocked,True,-46.30077322158823
wait12,S,9996,cross_blocked,True,31.38
wait12,S,10017,expired,True,43.96717865205059
wait12,L,10040,second_entry,True,-50.91885369833189
wait12,L,10161,expired,True,135.42378202999805
wait12,S,10179,second_entry,True,94.95194227347687
wait12,S,10206,expired,True,45.97
wait12,S,10306,expired,True,63.50143455484156
wait12,L,10326,expired,True,17.68
wait12,S,10356,expired,True,150.92
wait12,L,10442,expired,True,-8.081466595094817
wait12,L,10471,second_entry,True,86.84972659898285
wait12,S,10490,second_entry,True,85.8514001074663
wait12,S,10524,expired,True,122.34
wait12,S,10637,second_entry,True,-77.41757411070347
