name,side,origin_bar,original_exit_bar,original_reason,original_net,retry_entry_bar,retry_net,retry_reason
outside24,S,11307,11315,TP,53.48206728184744,11323,41.09853721892252,MHx
outside24,L,11347,11353,MH,-24.22000599256355,11364,-22.81,MH
outside24,L,11504,11510,MH,-38.69031923025649,11518,-12.271281597896987,MH
outside24,L,11810,11817,BE,-0.1954359707156272,11824,140.05,TP
outside24,S,11971,11979,TP,86.84453337004038,11987,58.75904608186056,TP
outside24,L,12131,12137,MH,-33.122616705978864,12143,-34.225840599144085,MH
outside24,S,12318,12325,TP,84.89309727661998,12333,-39.40535685224607,MH
outside24,S,12507,12516,TP,35.51260529735108,12524,-88.9391077670232,MH
outside24,L,12629,12634,MFE,-22.91,12640,30.89550479028261,MFE
outside24,S,12682,12688,TP,56.20509207864542,12696,99.32904529547598,TP
outside24,L,12835,12839,TP,125.77774798619105,12845,178.67,TP
outside24,S,12875,12877,TP,127.51566968578982,12885,101.3634774903542,TP
outside24,L,12971,12972,TP,133.46868468381612,12978,-71.63571094744677,MH
outside24,S,13036,13045,TP,43.71198344652854,13053,47.544333985036346,MHx
outside24,L,13157,13165,MHx,41.71195564497207,13187,6.031076895260636,MFE
outside24,L,13220,13221,TP,83.93,13227,3.622524161929174,MFE
outside24,S,13351,13352,TP,71.41,13360,-51.54531978912012,MH
outside24,S,13377,13385,MH,-29.687377006765697,13394,16.66100203449124,BE
outside24,S,13538,13542,TP,66.52865137191294,13552,-28.06836599064389,MH
outside24,L,13637,13640,MFE,13.44,13654,-37.26933963903098,MH
outside24,L,13677,13684,MFE,26.497242357905492,13690,28.45159000311529,MFE
outside24,L,14398,14403,MFE,12.94,14409,-2.574503315677125,MFE
outside24,L,14496,14502,MH,-24.653667223106485,14508,-13.36,MH
outside24,L,14983,14991,MHx,14.409430761640571,15007,-94.90372420958424,MH
outside24,S,15034,15042,TP,80.84472139746285,15050,-27.96733600683636,MH
outside24,S,15178,15179,TP,62.44,15187,83.01046518971417,TP
outside24,S,15208,15214,TP,92.2477447406528,15222,63.39,TP
outside24,S,15239,15242,TP,102.73,15250,74.98028659671542,TP
outside24,S,15333,15343,MH,-32.12854510613719,15352,76.12820932631477,TP
outside24,L,15389,15395,MH,-45.13,15401,-1.753777868129633,BE
outside24,L,15487,15490,TP,172.21,15496,-69.33708041347874,MH
outside24,S,15533,15543,MH,-14.639615300437812,15551,32.44738523564075,MHx
outside24,S,15674,15677,TP,148.7931589567837,15688,-32.216351781992344,MH
outside24,S,15730,15740,MH,-82.370157490192,15748,77.83,TP
outside24,S,15845,15849,TP,75.48,15857,-4.034567537023049,MH
outside24,L,15894,15898,TP,160.44,15904,6.606424079274105,MFE
outside24,L,16183,16185,TP,131.9,16192,7.15,MFE
outside24,S,16228,16233,TP,75.96,16241,98.46461890740152,TP
outside24,L,16341,16350,MHx,52.36329893309847,16356,-27.08,MH
outside24,S,16396,16406,TP,72.9212869674764,16414,-27.578085642855616,MH
outside24,L,16874,16882,MFE,16.188383034854816,16898,-37.27083639929854,MH
outside24,L,17012,17018,MH,-41.91,17028,-15.83,MH
outside48,S,381,391,MH,-33.06697761076196,405,19.827431897911517,MHx
outside48,S,562,564,TP,83.43868175993198,572,-11.401818621276616,MH
outside48,S,748,759,BE,30.184195827172665,767,16.540162038812905,BE
outside48,S,890,900,TP,30.899750260145684,908,-23.830059864116663,MH
outside48,S,1053,1063,MHx,4.56132973810542,1072,35.375288407283136,MHx
outside48,S,1277,1283,TP,119.11,1291,14.549508545075724,TP
outside48,L,1396,1402,MH,-5.85,1411,73.85148585899012,MFE
outside48,L,1428,1435,TP,150.87,1442,-72.55127159988031,MH
outside48,S,1584,1586,TP,79.16,1594,55.730889716565976,TP
outside48,S,1618,1620,TP,109.26871198326111,1628,-17.489095497659285,BE
outside48,S,1732,1743,BE,-32.708625455419465,1751,-7.224080769828523,MH
outside48,L,1784,1785,TP,171.29,1792,-35.99074656819871,MH
outside48,L,1876,1879,TP,117.02,1888,-33.07,MFE
outside48,S,1900,1903,TP,86.53,1912,-163.94113131044753,SN
outside48,S,2070,2074,TP,67.74,2082,-117.09604756944472,MH
outside48,L,2083,2087,MFE,12.434559852911391,2093,12.32,MFE
outside48,S,2128,2131,TP,25.4,2145,-177.71,SN
outside48,L,2259,2268,TP,117.09032214101276,2274,79.73966202710577,MFE
outside48,L,2579,2581,MFE,24.178519545118508,2587,-8.16820797163015,MH
outside48,L,2599,2604,MH,-51.29956731902684,2612,-67.16,MH
outside48,S,2910,2915,TP,96.76,2923,99.62454900734436,TP
outside48,L,3070,3078,MHx,128.91884421936194,3084,28.48840879122666,MHx
outside48,S,3268,3279,BE,42.61885241412881,3287,-16.52881459230664,BE
outside48,L,3456,3464,MHx,21.671323681459864,3472,-4.972660425740122,MH
