bar,decision_ts,daily_debit,L_month_debit,S_month_debit
4505,2025-03-15 05:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4506,2025-03-15 06:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4507,2025-03-15 07:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4508,2025-03-15 08:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4509,2025-03-15 09:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4510,2025-03-15 10:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4511,2025-03-15 11:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4512,2025-03-15 12:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4513,2025-03-15 13:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4514,2025-03-15 14:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4515,2025-03-15 15:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4516,2025-03-15 16:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4517,2025-03-15 17:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4518,2025-03-15 18:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4519,2025-03-15 19:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4520,2025-03-15 20:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4521,2025-03-15 21:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4522,2025-03-15 22:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4523,2025-03-15 23:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4524,2025-03-16 00:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4525,2025-03-16 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4526,2025-03-16 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4527,2025-03-16 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4528,2025-03-16 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4529,2025-03-16 05:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4530,2025-03-16 06:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4531,2025-03-16 07:00:00,0.0,-0.5949162304428807,-0.1755853237014234
