side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars
short,64865.932757999995,2026-02-28 13:55:00+00:00,65176.75954371428,2026-02-28 14:00:00+00:00,stop_loss,-11.18366811355074,False,1
long,66100.989438,2026-03-01 16:50:00+00:00,65780.96336657144,2026-03-01 17:15:00+00:00,stop_loss,-11.282943452117003,False,5
short,66994.349895,2026-03-02 14:50:00+00:00,67427.74275214286,2026-03-02 15:00:00+00:00,stop_loss,-14.538191289925495,False,2
short,66968.382492,2026-03-02 14:55:00+00:00,67406.90106342858,2026-03-02 15:00:00+00:00,stop_loss,-14.696286788200727,False,1
long,67353.724699,2026-03-03 08:45:00+00:00,67118.44862757143,2026-03-03 08:50:00+00:00,stop_loss,-8.586282421054046,False,1
short,67756.053717,2026-03-08 09:15:00+00:00,67928.76050271429,2026-03-08 10:15:00+00:00,stop_loss,-6.697899781343102,False,12
short,67768.552467,2026-03-08 09:20:00+00:00,67947.24746700001,2026-03-08 10:15:00+00:00,stop_loss,-6.873685020408921,False,11
short,67445.24480100001,2026-03-09 03:15:00+00:00,67445.24480100001,2026-03-09 03:20:00+00:00,adaptive_trail,1.0411725337613449,True,1
short,67632.93603,2026-03-09 03:20:00+00:00,67331.64636121046,2026-03-09 04:20:00+00:00,breakeven_sl,8.172431927471054,True,12
short,70256.833614,2026-03-11 13:25:00+00:00,70570.90147114286,2026-03-11 13:30:00+00:00,stop_loss,-10.540563956194974,False,1
long,71406.349921,2026-03-13 16:20:00+00:00,71863.16687218407,2026-03-13 17:25:00+00:00,breakeven_sl,11.601319546926941,True,13
long,70667.486042,2026-03-13 22:25:00+00:00,70889.05920613288,2026-03-13 23:25:00+00:00,adaptive_trail,5.344854331522942,True,12
long,70660.195313,2026-03-14 06:35:00+00:00,70544.74245585714,2026-03-14 06:40:00+00:00,stop_loss,-4.867832947006485,False,1
short,71180.64122399999,2026-03-14 23:40:00+00:00,71180.64122399999,2026-03-15 00:25:00+00:00,breakeven_sl,-0.25507920379909016,True,9
