side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done
long,65466.49,2026-02-25 11:35:00+00:00,68910.2,2026-02-25 20:10:00+00:00,atr_trail_1.5,94.77244511330471,True
long,66792.38,2026-02-25 14:45:00+00:00,69221.59,2026-02-25 21:45:00+00:00,atr_trail_1.5,65.80313576403239,True
long,69271.81,2026-02-25 21:30:00+00:00,68163.84785714286,2026-02-25 22:50:00+00:00,stop_loss,-33.588831903111554,False
long,67676.62,2026-02-27 07:45:00+00:00,67676.62,2026-02-27 09:40:00+00:00,stop_loss,-0.2414510653753339,True
long,66820.37,2026-02-28 21:35:00+00:00,66820.37,2026-02-28 23:35:00+00:00,stop_loss,0.6743834381214027,True
long,67340.16,2026-03-01 01:45:00+00:00,66031.81928571429,2026-03-01 16:45:00+00:00,stop_loss,-40.45766574613775,False
long,67096.89,2026-03-01 07:30:00+00:00,65950.19892857142,2026-03-01 16:45:00+00:00,stop_loss,-35.780155635487034,False
long,66212.81,2026-03-02 11:35:00+00:00,69110.51,2026-03-02 17:40:00+00:00,atr_trail_1.5,79.31098772492594,True
long,66262.25,2026-03-02 14:30:00+00:00,69110.51,2026-03-02 17:40:00+00:00,atr_trail_1.5,77.87744648833113,True
long,69364.45,2026-03-02 22:25:00+00:00,68075.5975,2026-03-03 04:45:00+00:00,stop_loss,-38.76175937385776,False
long,69340.8,2026-03-02 22:50:00+00:00,68051.94750000001,2026-03-03 04:50:00+00:00,stop_loss,-38.774434099404495,False
long,69102.16,2026-03-03 00:35:00+00:00,67770.08285714286,2026-03-03 08:25:00+00:00,stop_loss,-40.153849629509295,False
long,68218.18,2026-03-03 07:40:00+00:00,67421.57071428571,2026-03-03 08:40:00+00:00,stop_loss,-24.95475047016146,False
long,68106.73,2026-03-03 06:55:00+00:00,67260.81785714286,2026-03-03 08:45:00+00:00,stop_loss,-26.44077984237793,False
long,68308.63,2026-03-03 22:00:00+00:00,70670.0,2026-03-04 12:25:00+00:00,atr_trail_1.5,63.0553716147264,True
long,68600.7,2026-03-03 19:35:00+00:00,71416.59,2026-03-04 14:45:00+00:00,atr_trail_1.5,74.86198112514055,True
long,72705.17,2026-03-05 14:30:00+00:00,71671.35928571428,2026-03-05 15:10:00+00:00,stop_loss,-30.038437439475597,False
long,67384.22,2026-03-09 07:35:00+00:00,67384.22,2026-03-09 11:20:00+00:00,stop_loss,0.6325553371397843,True
long,68678.65,2026-03-10 00:15:00+00:00,69850.87,2026-03-10 03:45:00+00:00,atr_trail_1.5,31.030115555770053,True
long,68982.86,2026-03-10 01:40:00+00:00,69850.87,2026-03-10 03:45:00+00:00,atr_trail_1.5,22.96731384330195,True
long,69986.88,2026-03-10 06:45:00+00:00,70874.96,2026-03-10 13:30:00+00:00,atr_trail_1.5,23.207888482608684,True
long,70137.57,2026-03-10 07:05:00+00:00,70874.96,2026-03-10 13:30:00+00:00,atr_trail_1.5,19.271597673787998,True
long,70599.99,2026-03-11 20:50:00+00:00,69600.2967857143,2026-03-12 02:15:00+00:00,stop_loss,-29.919925095901892,False
long,71393.94,2026-03-13 04:55:00+00:00,73480.32,2026-03-13 14:40:00+00:00,atr_trail_1.5,52.7405144550285,True
long,72745.93,2026-03-13 12:45:00+00:00,73480.32,2026-03-13 14:40:00+00:00,atr_trail_1.5,18.187174740517467,True
long,71471.72,2026-03-13 03:50:00+00:00,72946.69,2026-03-13 14:45:00+00:00,atr_trail_1.5,37.48814163540089,True
long,71612.56,2026-03-15 07:10:00+00:00,71612.56,2026-03-15 12:40:00+00:00,stop_loss,-0.8383020121450563,True
long,71594.53,2026-03-15 08:10:00+00:00,71594.53,2026-03-15 12:40:00+00:00,stop_loss,-0.8114521278970029,True
