side,signal,sl,exit,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl,long_trades,short_trades,long_pnl,short_pnl
short,vol_spike_dn,pct_1.5,fixed_2atr,-574.76,278,44.6,0.8,-823.48,-2.07,0,278,0.0,-574.76
long,stoch_cross_up,pct_1.5,fixed_2atr,-486.72,220,44.5,0.8,-688.58,-2.21,220,0,-486.72,0.0
long,rsi30_vol,atr_2.5,ema9_trail,-115.5,39,53.8,0.8,-419.54,-2.96,39,0,-115.5,0.0
long,ema_macd_up,pct_1.5,atr_trail_2.5,-124.45,68,41.2,0.79,-164.4,-1.83,68,0,-124.45,0.0
long,rsi30_vol,atr_2.0,ema9_trail,-114.32,39,51.3,0.79,-385.38,-2.93,39,0,-114.32,0.0
long,ema_macd_up,atr_1.5,atr_trail_1.5,-115.07,68,41.2,0.78,-168.18,-1.69,68,0,-115.07,0.0
long,rsi30_vol,atr_1.5,atr_trail_1.5,-127.72,39,41.0,0.78,-374.49,-3.27,39,0,-127.72,0.0
long,stoch_cross_up,pct_1.5,atr_trail_2.5,-547.55,220,37.3,0.78,-704.66,-2.49,220,0,-547.55,0.0
long,momentum_up,atr_2.5,atr_trail_1.5,-127.87,54,50.0,0.77,-241.08,-2.37,54,0,-127.87,0.0
long,stoch_cross_up,atr_2.0,ema9_trail,-515.94,220,54.1,0.77,-905.03,-2.35,220,0,-515.94,0.0
long,stoch_cross_up,pct_1.5,atr_trail_1.5,-566.26,220,45.9,0.77,-676.08,-2.57,220,0,-566.26,0.0
long,ema_macd_up,atr_1.5,fixed_2atr,-124.23,68,36.8,0.77,-163.22,-1.83,68,0,-124.23,0.0
long,momentum_up,atr_2.5,fixed_2atr,-143.08,54,44.4,0.75,-273.19,-2.65,54,0,-143.08,0.0
long,rsi30_vol,pct_1.5,fixed_2atr,-152.29,39,41.0,0.74,-382.81,-3.9,39,0,-152.29,0.0
long,stoch_cross_up,atr_2.5,ema9_trail,-729.07,220,55.9,0.71,-926.33,-3.31,220,0,-729.07,0.0
long,rsi30_vol,atr_1.5,fixed_2atr,-177.88,39,38.5,0.69,-347.86,-4.56,39,0,-177.88,0.0
long,stoch_cross_up,atr_1.5,ema9_trail,-681.7,223,47.5,0.69,-745.47,-3.06,223,0,-681.7,0.0
long,rsi30_vol,pct_1.5,ema9_trail,-190.51,39,43.6,0.67,-411.65,-4.88,39,0,-190.51,0.0
long,stoch_cross_up,pct_1.5,ema9_trail,-827.58,220,50.5,0.66,-891.35,-3.76,220,0,-827.58,0.0
long,ema_macd_up,atr_1.5,atr_trail_2.5,-217.01,68,32.4,0.59,-226.86,-3.19,68,0,-217.01,0.0
long,rsi30_vol,atr_1.5,ema9_trail,-262.68,39,41.0,0.55,-384.94,-6.74,39,0,-262.68,0.0
