open,high,low,close,volume,taker_buy_volume,datetime
63536.5,64096.0,63349.4,63910.0,15827.862,7952.303,2026-07-07 23:00:00
63910.0,64234.1,63780.3,63962.4,8485.483,4300.035,2026-07-08 00:00:00
63962.4,64211.0,63868.2,64164.7,4437.323,2065.063,2026-07-08 01:00:00
64164.6,64168.8,63646.5,63653.8,6767.564,2744.406,2026-07-08 02:00:00
63653.6,63873.2,63351.4,63794.9,8996.679,5051.668,2026-07-08 03:00:00
63794.9,63874.6,63588.5,63668.3,2860.895,1300.019,2026-07-08 04:00:00
63668.4,63839.9,63264.0,63399.5,5782.613,2727.828,2026-07-08 05:00:00
63399.5,63635.4,63177.0,63514.9,3966.559,1999.268,2026-07-08 06:00:00
63514.9,63679.5,63288.0,63335.4,2329.733,1126.945,2026-07-08 07:00:00
63335.4,63740.2,63274.1,63585.9,3564.601,1872.817,2026-07-08 08:00:00
63585.9,63624.0,62883.6,63003.7,8120.007,3304.949,2026-07-08 09:00:00
63003.7,63037.1,62466.9,62951.3,13015.007,6144.78,2026-07-08 10:00:00
62951.4,63067.9,62666.0,62741.0,4155.352,1878.392,2026-07-08 11:00:00
62741.0,62873.3,62643.6,62767.3,3191.098,1629.474,2026-07-08 12:00:00
62766.9,62851.2,62520.4,62613.8,4053.867,1856.559,2026-07-08 13:00:00
62613.8,62718.2,62434.9,62628.5,5098.065,2515.365,2026-07-08 14:00:00
62628.5,62867.7,62519.3,62854.1,5614.701,3221.175,2026-07-08 15:00:00
62854.1,62921.8,61821.0,61989.8,24133.055,11450.246,2026-07-08 16:00:00
61989.8,62142.9,61708.2,62031.7,11392.528,5597.421,2026-07-08 17:00:00
62031.8,62164.7,61876.0,62149.8,5056.481,2658.427,2026-07-08 18:00:00
62149.9,62366.0,62025.2,62270.0,5367.666,2762.036,2026-07-08 19:00:00
62270.0,62394.1,61933.0,61933.9,5991.213,2597.105,2026-07-08 20:00:00
61933.9,62073.6,61615.0,61923.0,12545.108,6147.518,2026-07-08 21:00:00
61922.9,62151.9,61686.7,61865.5,10860.112,5675.72,2026-07-08 22:00:00
61865.6,61900.5,61520.0,61674.5,9713.099,4601.061,2026-07-08 23:00:00
61674.6,62129.8,61666.0,62086.4,7113.853,3915.875,2026-07-09 00:00:00
62086.3,62372.7,62005.2,62086.5,6899.963,3781.376,2026-07-09 01:00:00
62086.4,62331.0,62014.1,62158.8,3724.733,1905.597,2026-07-09 02:00:00
62158.9,62270.4,62043.0,62251.9,2519.071,1229.108,2026-07-09 03:00:00
62251.9,62287.1,62051.2,62076.2,2354.879,998.299,2026-07-09 04:00:00
62076.2,62226.4,61926.9,62162.4,4462.192,2065.152,2026-07-09 05:00:00
62162.4,62331.8,62144.4,62303.5,2226.252,1175.735,2026-07-09 06:00:00
62303.5,62320.6,62139.3,62255.3,1922.822,917.592,2026-07-09 07:00:00
62255.1,62284.4,62025.4,62101.8,3023.797,1431.198,2026-07-09 08:00:00
62101.8,62620.2,61796.1,61882.2,10363.949,4932.865,2026-07-09 09:00:00
61882.2,62098.0,61666.0,61753.7,4989.881,2336.858,2026-07-09 10:00:00
61753.8,62042.7,61693.1,61943.1,3408.734,1758.335,2026-07-09 11:00:00
61943.2,62427.7,61929.0,62420.4,5177.524,2954.037,2026-07-09 12:00:00
62420.3,62599.6,62204.9,62565.8,7762.964,3872.845,2026-07-09 13:00:00
62565.8,62958.0,62452.1,62934.0,10744.759,6165.693,2026-07-09 14:00:00
62933.9,63286.5,62774.5,62973.7,11947.227,6081.965,2026-07-09 15:00:00
62973.6,63083.9,62822.8,62872.6,4400.093,2044.305,2026-07-09 16:00:00
62872.6,62980.4,62753.1,62925.0,3618.009,1781.957,2026-07-09 17:00:00
62925.0,63030.5,62653.8,62757.2,3716.851,1707.865,2026-07-09 18:00:00
62757.2,62804.8,62583.4,62756.0,5140.324,2401.65,2026-07-09 19:00:00
62755.9,62934.3,62428.5,62583.3,19486.3,9944.542,2026-07-09 20:00:00
62583.3,63215.0,62490.2,62999.9,9489.196,5478.984,2026-07-09 21:00:00
63000.0,63117.9,62620.1,62982.5,7113.788,3399.535,2026-07-09 22:00:00
62982.4,63233.0,62782.5,62835.4,6941.238,3505.689,2026-07-09 23:00:00
62835.4,62969.3,62525.2,62670.7,5324.178,2702.442,2026-07-10 00:00:00
62670.7,63146.0,62640.2,63114.7,5492.868,2772.293,2026-07-10 01:00:00
