side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
L,2024-10-11 22:00:00,2024-10-12 10:00:00,2430.13,2435.78,5.299913996370714,MH,2024-10
S,2024-10-13 12:00:00,2024-10-14 00:00:00,2456.89,2454.32,0.18415150861407525,MH,2024-10
L,2024-10-16 10:00:00,2024-10-16 22:00:00,2618.5,2606.77,-21.918655718923077,MH,2024-10
L,2024-10-18 07:00:00,2024-10-18 19:00:00,2612.0,2621.43,10.44104134762609,MH,2024-10
S,2024-10-21 18:00:00,2024-10-22 06:00:00,2713.98,2676.77,50.84196641095371,MH,2024-10
S,2024-10-25 16:00:00,2024-10-26 04:00:00,2483.29,2479.54,2.040373858872705,MH,2024-10
L,2024-10-27 05:00:00,2024-10-27 17:00:00,2489.94,2470.82,-34.71559957268029,MH,2024-10
S,2024-10-28 11:00:00,2024-10-28 23:00:00,2489.16,2500.3,-21.901621430523274,MH,2024-10
L,2024-10-29 07:00:00,2024-10-29 19:00:00,2568.28,2631.08,93.80865014717978,MH,2024-10
L,2024-10-30 14:00:00,2024-10-31 02:00:00,2653.87,2667.16,16.03112435801296,MH,2024-10
S,2024-10-31 04:00:00,2024-10-31 16:00:00,2655.34,2637.22,23.295939503039676,MH,2024-10
L,2024-11-01 21:00:00,2024-11-02 09:00:00,2536.82,2514.9,-38.56295677265249,MH,2024-11
L,2024-11-05 16:00:00,2024-11-06 04:00:00,2442.33,2425.74,-31.170775448035517,MH,2024-11
L,2024-11-06 11:00:00,2024-11-06 23:00:00,2567.77,2634.28,99.6074103210182,MH,2024-11
L,2024-11-07 03:00:00,2024-11-07 15:00:00,2677.94,2821.63,210.62766156075202,MH,2024-11
L,2024-11-08 03:00:00,2024-11-08 15:00:00,2879.8,2912.94,42.030974373220175,MH,2024-11
L,2024-11-08 21:00:00,2024-11-09 09:00:00,2937.04,2986.57,63.45566965380138,MH,2024-11
L,2024-11-10 07:00:00,2024-11-10 19:00:00,3134.97,3223.12,108.47316561243022,MH,2024-11
S,2024-11-11 14:00:00,2024-11-11 23:00:00,3132.09,3241.71315,-143.99999999999986,SL,2024-11
L,2024-11-12 03:00:00,2024-11-12 15:00:00,3325.61,3372.03,51.8333659088108,MH,2024-11
L,2024-11-12 15:00:00,2024-11-12 18:00:00,3383.04,3264.6335999999997,-144.00000000000037,SL,2024-11
S,2024-11-13 14:00:00,2024-11-13 22:00:00,3143.85,3253.8847499999997,-143.99999999999974,SL,2024-11
L,2024-11-14 10:00:00,2024-11-14 22:00:00,3217.24,3110.91,-136.20027103977313,MH,2024-11
L,2024-11-16 20:00:00,2024-11-17 08:00:00,3197.38,3150.94,-62.09756738329514,MH,2024-11
L,2024-11-19 08:00:00,2024-11-19 17:00:00,3210.48,3098.1132,-144.00000000000028,SL,2024-11
